make,model,total_sales_2019,power_type,doors,vehicle_type,battery_cap_kwh,max_range,batt_only_range,base_msrp,charge_time_110v,charge_time_220v,zero_to_sixty,horsepower,torque,curb_weight,mpge_combined,,
Chevy, Volt ,4915.00,PHEV, 4 , Hatchback ,18.40,420,53,34395.00,13.00,4.50,8.50,149.00,294.00,3519.00,106.00,,
Nissan, Leaf ,12365.00,EV,5, Hatchback ,40.00,150,,29990.00,35.00,9.50,7.40,147.00,236.00,3433.00,112.00,,
Smart, ED ,680.00,EV,3,Coupe,17.60,58,,23900.00,13.00,3.00,10.00,80.00,118.00,2363.00,108.00,,
Toyota, Prius PHEV ,23630.00,PHEV,5, Liftback ,8.80,640,25,24690.00,5.50,2.00,9.60,121.00,105.00,3010.00,133.00,,
Tesla, Model S ,15090.00,EV,4, Sedan ,75.00,270,,77200.00,88.26,9.20,4.20,329.00,485.00,4883.00,103.00,,
Ford, Fusion Energi ,7476.00,PHEV,4, Sedan ,9.00,610,26,35490.00,7.00,2.60,7.80,141.00,129.00,4034.00,103.00,,
Fiat, 500E ,632.00,EV,4, Hatchback ,24.00,84,,33210.00,24.00,4.00,9.90,111.00,147.00,2980.00,112.00,,
Porsche, Panamera S E-Hybrid ,1958.00,PHEV,4, Sedan ,14.10,450,14,102900.00,12.50,3.00,4.40,330.00,516.00,4784.00,51.00,,
BMW, i3 ,4854.00,EV,5, Hatchback ,42.20,153,,45445.00,7.00,0.70,6.60,170.00,184.00,2972.00,113.00,,
Mercedes, B-Class (B250e) ,9.00,EV,4, Hatchback ,28.00,142,,,,,6.60,218.00,331.00,3803.00,83.50,,
BMW, i8 ,1102.00,PHEV,2, Coupe ,11.60,320,18,148495.00,,3.00,4.20,369.00,420.00,3501.00,69.00,,
Volkswagen, e-Golf ,4863.00,EV,5, Hatchback ,35.80,125,,32790.00,26.00,5.30,9.60,134.00,214.00,3455.00,119.00,,
Kia, Soul EV ,114.00,EV,5, Hatchback ,30.00,111,,33950.00,33.00,5.00,11.20,109.00,210.00,3289.00,108.00,,
Porsche, Cayenne S E-Hybrid ,1140.00,PHEV,5, SUV ,14.10,450,13,81150.00,,3.00,4.20,455.00,516.00,5389.00,46.00,,
Mercedes,  S550 Plug ,371.00,PHEV,4, Sedan ,13.50,510,19,96600.00,,1.90,4.70,469.00,516.00,5115.00,43.00,,
Volvo, XC90 Plug In ,1710.00,PHEV,5, SUV ,11.60,490,17,67000.00,,3.00,7.40,313.00,472.00,5068.00,58.00,,
Tesla, Model X ,19425.00,EV,5, SUV ,75.00,238,,81000.00,80.56,10.75,4.60,328.00,387.00,5185.00,93.00,,
BMW, X5 ,167.00,PHEV,5, SUV ,24.00,450,50,63855.00,14.00,5.00,5.30,389.00,443.00,5533.00,50.00,,
Hyundai, Sonata Plug In ,456.00,PHEV,4, Sedan ,9.80,600,28,33400.00,8.70,2.70,7.70,154.00,140.00,3781.00,99.00,,
Audi, A3 Plug In ,437.00,PHEV,4, Hatchback ,8.80,580,31,33495.00,,4.00,7.60,204.00,243.00,3609.00,45.70,,
BMW, 3-series Plug-In ,705.00,PHEV,4, Sedan ,12.00,320,37,43595.00,,2.50,5.60,292.00,310.00,3836.00,42.00,,
Mercedes, GLE 550e ,1509.00,PHEV,5, SUV ,13.50,460,10,66700.00,4.00,1.90,5.20,329.00,479.00,5456.00,20.00,,
BMW, 7-series Plug-in ,80.00,PHEV,4, Sedan ,9.20,340,14,91250.00,8.00,3.00,5.10,255.00,369.00,4740.00,64.00,,
Mercedes,  C350We ,2172.00,PHEV,4, Sedan ,8.70,350,10,47900.00,,2.00,5.70,275.00,443.00,4079.00,,,
Chevy, Bolt ,16313.00,EV,5, Hatchback ,60.00,238,,37495.00,,9.30,6.50,200.00,266.00,3563.00,119.00,,
Kia, Optima Plug-in ,350.00,PHEV,4, Sedan ,9.80,610,29,35390.00,9.00,2.70,8.90,192.00,271.00,3788.00,103.00,,
Hyundai, Ioniq EV ,739.00,EV,5, Liftback ,28.00,124,,31245.00,24.00,4.00,8.70,118.00,218.00,3164.00,136.00,,
Chrysler, Pacifica Plug-in Hybrid ,5811.00,PHEV,5, Minivan ,16.00,520,32,39995.00,14.00,2.00,7.30,260.00,231.00,4987.00,82.00,,
Cadillac, CT6 ,25.00,PHEV,4, Sedan ,18.40,430,31,86770.00,,4.50,5.40,265.00,295.00,4057.00,62.00,,
BMW, 5-Series Plug in ,5442.00,PHEV,4, Sedan ,9.20,370,16,53400.00,8.00,2.00,6.10,248.00,310.00,4266.00,72.00,,
MINI, Countryman S E ,494.00,PHEV,5, SUV ,7.60,260,12,37750.00,,3.00,6.80,221.00,284.00,3948.00,65.00,,
Tesla, Model 3 ,154840.00,EV,4, Sedan ,50.00,220,,36200.00,85.00,9.25,5.30,271.00,310.00,3582.00,131.00,,
Honda, Clarity BEV ,742.00,EV,4, Sedan ,25.50,89,,36620.00,19.00,4.00,12.00,161.00,221.00,4024.00,,,
Volvo, XC60 Plug In ,1682.00,PHEV,5, SUV ,10.40,500,17,53700.00,,3.00,5.00,400.00,472.00,4638.00,58.00,,
Volvo, S90 Plug In ,407.00,PHEV,4, Sedan ,10.40,490,21,63200.00,15.00,3.00,4.80,400.00,472.00,4579.00,71.00,,
Honda, Clarity Plug-in ,10728.00,PHEV,4, Sedan ,17.00,340,48,34330.00,12.00,2.20,7.60,181.00,232.00,4052.00,110.00,,
Mitsubishi, Outlander Plug In ,2810.00,PHEV,5, SUV ,12.00,310,22,37165.00,8.00,3.50,8.90,190.00,245.00,4178.00,74.00,,
Hyundai, Ioniq Plug-In ,1765.00,PHEV,5, Liftback ,8.90,630,29,25350.00,,2.30,8.90,139.00,234.00,3318.00,119.00,,
Kia, Niro Plug In ,4051.00,PHEV,5, SUV ,1.56,590,26,29545.00,9.00,2.25,9.00,139.00,195.00,3391.00,105.00,,
Mercedes, GLC 350e Hybrid ,2459.00,PHEV,5, SUV ,8.70,350,10,51645.00,7.75,1.90,6.20,315.00,413.00,4564.00,56.00,,
Jaguar, I-Pace ,2594.00,EV,5, SUV ,90.00,234,,69500.00,13.00,1.50,4.50,394.00,512.00,4784.00,76.00,,
Hyundai, Kona Electric ,1721.00,EV,5, SUV ,64.00,258,,38045.00,,9.00,7.00,201.00,291.00,3715.00,86.00,,
Subaru, Crosstrek Hybrid ,880.00,PHEV,5, SUV ,8.80,480,17,34995.00,5.00,2.00,8.30,148.00,283.00,3726.00,90.00,,
Audi, e-tron ,5369.00,EV,5, SUV ,95.00,204,,75795.00,,10.00,5.50,402.00,414.00,5754.00,74.00,,
Kia, Niro EV ,1562.00,EV,5, SUV ,64.00,239,,39495.00,59.00,9.50,7.80,201.00,291.00,3854.00,112.00,,
